Name,Currency,Tenor,Day Count,Business Day,Region,Settlement Days,EOM,Stub Type,Exchange Notional,Payment Lag
USD Vanilla Effective Federal Funds +1Y Fixed,USD,P1Y,ACT/360,MODIFIED FOLLOWING,US,2,TRUE,NONE,FALSE,2
JPY Vanilla TONAR +1Y Fixed,JPY,P1Y,ACT/365,MODIFIED FOLLOWING,JP,2,TRUE,NONE,FALSE,1
GBP Vanilla SONIA +1Y Fixed,GBP,P1Y,ACT/365,MODIFIED FOLLOWING,GB,0,TRUE,NONE,FALSE,1
EUR Vanilla EONIA +1Y Fixed,EUR,P1Y,ACT/360,MODIFIED FOLLOWING,TARGET,2,TRUE,NONE,FALSE,2
CHF Vanilla TOIS +1Y Fixed,CHF,P1Y,ACT/360,MODIFIED FOLLOWING,CH,2,TRUE,NONE,FALSE,2
CHF Vanilla SARON +1Y Fixed,CHF,P1Y,ACT/360,MODIFIED FOLLOWING,CH,2,TRUE,NONE,FALSE,2
